HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
2DS6X3YOCCF0WXNWMCKIXIIXZY0RQX,"Rank the most important sentences","http://abcnews.go.com/Entertainment/opening-statements-set-begin-michael-jackson-wrong-death/story?id=19063372",2BKNQQ7Q6705LY2OCES23QC1ZD1BV2,A34XI67018IK8,Approved,"Sat May 11 20:26:01 PDT 2013","Sat May 11 20:26:47 PDT 2013",5,5,3,3,2,1,
2DS6X3YOCCF0WXNWMCKIXIIXZY0RQX,"Rank the most important sentences","http://abcnews.go.com/Entertainment/opening-statements-set-begin-michael-jackson-wrong-death/story?id=19063372",2CJCJK63ZVE31ZIWJ51QJJL5TU0Y9O,A2LFVIC3OBEE1L,Approved,"Sat May 11 20:38:33 PDT 2013","Sat May 11 20:39:28 PDT 2013",5,5,2,3,3,1,
2DS6X3YOCCF0WXNWMCKIXIIXZY0RQX,"Rank the most important sentences","http://abcnews.go.com/Entertainment/opening-statements-set-begin-michael-jackson-wrong-death/story?id=19063372",2CBE1M7PKK9LB4O0OX30ELZXRCUZSS,A1DRFDGG2KCOI2,Approved,"Sat May 11 20:42:53 PDT 2013","Sat May 11 20:46:09 PDT 2013",4,5,1,1,3,1,
2DS6X3YOCCF0WXNWMCKIXIIXZY0RQX,"Rank the most important sentences","http://abcnews.go.com/Entertainment/opening-statements-set-begin-michael-jackson-wrong-death/story?id=19063372",2C55NQYN5F3QKRYHILDNMWYB6058C6,ABV489JL34WPR,Approved,"Sat May 11 21:36:25 PDT 2013","Sat May 11 21:39:07 PDT 2013",5,4,4,4,5,1,
2DS6X3YOCCF0WXNWMCKIXIIXZY0RQX,"Rank the most important sentences","http://abcnews.go.com/Entertainment/opening-statements-set-begin-michael-jackson-wrong-death/story?id=19063372",2CD92HECWA6XN66O12RCZ5KXRK8JKE,A1X25BGNNUVYRT,Approved,"Sat May 11 21:41:28 PDT 2013","Sat May 11 21:41:45 PDT 2013",5,4,2,4,3,1,
