HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
2BR8JHSTLB3LKNTVY5FBTEJRFDBSGS,"Rank the most important sentences","http://abcnews.go.com/International/wireStory/aircraft-crashes-base-afghanistan-19064649",2EAXKO2L92HEW4SIMQPOMCF0EGPEFG,ATGF05HW5Q63J,Approved,"Sat May 11 20:12:36 PDT 2013","Sat May 11 20:13:21 PDT 2013",5,4,4,
2BR8JHSTLB3LKNTVY5FBTEJRFDBSGS,"Rank the most important sentences","http://abcnews.go.com/International/wireStory/aircraft-crashes-base-afghanistan-19064649",2LJI8IUB2YU9SRZ4I823V0FBL047JS,A34XI67018IK8,Approved,"Sat May 11 20:24:21 PDT 2013","Sat May 11 20:24:53 PDT 2013",5,4,4,
2BR8JHSTLB3LKNTVY5FBTEJRFDBSGS,"Rank the most important sentences","http://abcnews.go.com/International/wireStory/aircraft-crashes-base-afghanistan-19064649",2BLHV8ER9Y8T7S0YOFD5UFHS4F94RY,A2LFVIC3OBEE1L,Approved,"Sat May 11 20:39:39 PDT 2013","Sat May 11 20:40:00 PDT 2013",5,5,4,
2BR8JHSTLB3LKNTVY5FBTEJRFDBSGS,"Rank the most important sentences","http://abcnews.go.com/International/wireStory/aircraft-crashes-base-afghanistan-19064649",2CB1LY58B727680S478DB6YFUM48TO,A37C60EI9424VC,Approved,"Sat May 11 21:21:31 PDT 2013","Sat May 11 21:22:06 PDT 2013",5,3,4,
2BR8JHSTLB3LKNTVY5FBTEJRFDBSGS,"Rank the most important sentences","http://abcnews.go.com/International/wireStory/aircraft-crashes-base-afghanistan-19064649",2WBUNU8LZ6R7KON3YV48T3VE9NHK4N,A1X25BGNNUVYRT,Approved,"Sat May 11 21:35:52 PDT 2013","Sat May 11 21:36:07 PDT 2013",3,4,3,
