HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4
25XXRDS4IC1EIL5982D1BA2IWG0WZZ,"Rank the most important sentences","http://news.msn.com/world/fire-at-collapsed-bangladesh-building-owner-is-arrested",2JXSW6NG1FS3765V0L61PZSZNTGXJA,A34XI67018IK8,Approved,"Sat May 11 19:35:06 PDT 2013","Sat May 11 19:36:01 PDT 2013",4,4,5,5,
25XXRDS4IC1EIL5982D1BA2IWG0WZZ,"Rank the most important sentences","http://news.msn.com/world/fire-at-collapsed-bangladesh-building-owner-is-arrested",2P3NFSVGULF3TDA8VA71PS3N0E48MJ,AG7EPQGA9JFI3,Approved,"Sat May 11 20:21:33 PDT 2013","Sat May 11 20:21:47 PDT 2013",3,3,2,2,
25XXRDS4IC1EIL5982D1BA2IWG0WZZ,"Rank the most important sentences","http://news.msn.com/world/fire-at-collapsed-bangladesh-building-owner-is-arrested",2GKK9RJ85OZIJMZYZXGMYOQ5GND7VF,A2LFVIC3OBEE1L,Approved,"Sat May 11 21:01:40 PDT 2013","Sat May 11 21:02:49 PDT 2013",4,5,5,4,
25XXRDS4IC1EIL5982D1BA2IWG0WZZ,"Rank the most important sentences","http://news.msn.com/world/fire-at-collapsed-bangladesh-building-owner-is-arrested",20W5UUKQOYGN24JZHVFGA107UM5FXV,A37C60EI9424VC,Approved,"Sat May 11 21:16:45 PDT 2013","Sat May 11 21:18:10 PDT 2013",3,1,5,4,
