HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
23WC1PC6SK9R3GN0O5QERMAAQZOP12,"Rank the most important sentences","http://www.nbcnews.com/id/51679327/ns/technology_and_science-tech_and_gadgets/t/suspect-behind-biggest-cyberattack-nabbed-spain/",2H1KQW618N46E5XO2RWXMETNF76OMC,A2B5ICO82CDKTC,Approved,"Thu May 02 21:44:34 PDT 2013","Thu May 02 21:45:33 PDT 2013",5,3,4,
23WC1PC6SK9R3GN0O5QERMAAQZOP12,"Rank the most important sentences","http://www.nbcnews.com/id/51679327/ns/technology_and_science-tech_and_gadgets/t/suspect-behind-biggest-cyberattack-nabbed-spain/",2JKKMT6YTWX41BZEEYVDJ9GI8X3V0B,A23C8PF66JMSNV,Approved,"Thu May 02 21:44:11 PDT 2013","Thu May 02 21:50:19 PDT 2013",5,3,3,
23WC1PC6SK9R3GN0O5QERMAAQZOP12,"Rank the most important sentences","http://www.nbcnews.com/id/51679327/ns/technology_and_science-tech_and_gadgets/t/suspect-behind-biggest-cyberattack-nabbed-spain/",2OWBLYHVI44OCA2XJV4NOZSBC4P2WC,A34XI67018IK8,Approved,"Thu May 02 22:00:41 PDT 2013","Thu May 02 22:00:58 PDT 2013",5,4,4,
23WC1PC6SK9R3GN0O5QERMAAQZOP12,"Rank the most important sentences","http://www.nbcnews.com/id/51679327/ns/technology_and_science-tech_and_gadgets/t/suspect-behind-biggest-cyberattack-nabbed-spain/",2I6R9Y8TNKIMJ04H928SCOM0RVH8VD,A1X25BGNNUVYRT,Approved,"Thu May 02 22:02:49 PDT 2013","Thu May 02 22:03:40 PDT 2013",3,3,3,
23WC1PC6SK9R3GN0O5QERMAAQZOP12,"Rank the most important sentences","http://www.nbcnews.com/id/51679327/ns/technology_and_science-tech_and_gadgets/t/suspect-behind-biggest-cyberattack-nabbed-spain/",20YSVQ8H88MQEE3HDYMCS1RXZJVQ7D,AW08K5GK7C276,Approved,"Thu May 02 22:06:48 PDT 2013","Thu May 02 22:07:23 PDT 2013",5,4,4,
