HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2
2GZHRRLFQ0ON739TQ78OJEGRCK6HQK,"Rank the most important sentences","http://news.yahoo.com/north-korea-says-american-tourist-holding-face-trial-035954456.html",2LYBFMFFOYYID9BV407E2C0RZBAZMQ,A34XI67018IK8,Approved,"Thu May 02 21:57:30 PDT 2013","Thu May 02 21:57:47 PDT 2013",5,5,
2GZHRRLFQ0ON739TQ78OJEGRCK6HQK,"Rank the most important sentences","http://news.yahoo.com/north-korea-says-american-tourist-holding-face-trial-035954456.html",2TNCNHMVHVKC38JD9PY4T79KSBR24R,A2MJ1KONL3P0II,Approved,"Thu May 02 21:57:56 PDT 2013","Thu May 02 21:58:16 PDT 2013",4,4,
2GZHRRLFQ0ON739TQ78OJEGRCK6HQK,"Rank the most important sentences","http://news.yahoo.com/north-korea-says-american-tourist-holding-face-trial-035954456.html",2R08MQU6L5OBFK0DGKO4KIJF9VFWDG,A1X25BGNNUVYRT,Approved,"Thu May 02 22:11:01 PDT 2013","Thu May 02 22:11:22 PDT 2013",3,3,
2GZHRRLFQ0ON739TQ78OJEGRCK6HQK,"Rank the most important sentences","http://news.yahoo.com/north-korea-says-american-tourist-holding-face-trial-035954456.html",2OGZFYQS1CST6WX9G0J4SC1E0S9KNR,A1F76UVHIMISLZ,Approved,"Thu May 02 22:15:50 PDT 2013","Thu May 02 22:16:07 PDT 2013",5,4,
2GZHRRLFQ0ON739TQ78OJEGRCK6HQK,"Rank the most important sentences","http://news.yahoo.com/north-korea-says-american-tourist-holding-face-trial-035954456.html",24M00OQKKA4I20Q4RHT6I0EW2RMYYQ,AW08K5GK7C276,Approved,"Thu May 02 22:28:53 PDT 2013","Thu May 02 22:29:18 PDT 2013",5,5,
