HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
29UWY2AOO2GM6MY0D3HSMM6IBN2443,"Rank the most important sentences","http://www.cnn.com/2013/04/28/tech/spain-internet-attack-arrest/index.html?hpt=hp_t5",23DB3L0FBJ9I8J1Q8E5VO5RPTH8MYO,A1X25BGNNUVYRT,Approved,"Thu May 02 22:11:29 PDT 2013","Thu May 02 22:12:00 PDT 2013",3,3,3,
29UWY2AOO2GM6MY0D3HSMM6IBN2443,"Rank the most important sentences","http://www.cnn.com/2013/04/28/tech/spain-internet-attack-arrest/index.html?hpt=hp_t5",2FKW6NG1FS3NIV1NN2SF9SZL4CDKYH,A34XI67018IK8,Approved,"Thu May 02 22:18:31 PDT 2013","Thu May 02 22:18:42 PDT 2013",5,4,2,
29UWY2AOO2GM6MY0D3HSMM6IBN2443,"Rank the most important sentences","http://www.cnn.com/2013/04/28/tech/spain-internet-attack-arrest/index.html?hpt=hp_t5",2LFVP3TVOK5UZRNDNUHEYZFYS7N25X,A1OG3DTW66QD00,Approved,"Thu May 02 22:20:10 PDT 2013","Thu May 02 22:20:50 PDT 2013",5,4,3,
29UWY2AOO2GM6MY0D3HSMM6IBN2443,"Rank the most important sentences","http://www.cnn.com/2013/04/28/tech/spain-internet-attack-arrest/index.html?hpt=hp_t5",27MYT3DHJHP4VLVW5RP81SX9ZI31UY,A2MJ1KONL3P0II,Approved,"Thu May 02 22:28:15 PDT 2013","Thu May 02 22:28:38 PDT 2013",3,3,3,
29UWY2AOO2GM6MY0D3HSMM6IBN2443,"Rank the most important sentences","http://www.cnn.com/2013/04/28/tech/spain-internet-attack-arrest/index.html?hpt=hp_t5",2XEHGYQ4J3NAVETRB26O8YIT386OBR,AW08K5GK7C276,Approved,"Thu May 02 22:41:49 PDT 2013","Thu May 02 22:42:13 PDT 2013",4,4,4,
